"condition_idx","trial_idx","item_idx","rank_idx","group","rt","choice"
1,1,3,1,0,0.84,1
1,1,1,2,0,0.95,1
1,1,2,3,0,1.05,1
1,2,3,1,0,0.81,1
1,2,2,2,0,1.22,1
1,2,1,3,0,1.5,-1
1,3,3,1,0,0.61,1
1,3,2,2,0,0.71,1
1,3,1,3,0,1.35,1
1,4,1,1,1,0.72,-1
1,4,2,2,1,0.87,1
1,4,3,3,1,1.08,1
1,5,3,1,1,1.18,1
1,5,2,2,1,1.46,-1
1,5,1,3,1,3.04,-1
1,6,1,1,1,0.35,1
1,6,2,2,1,0.59,-1
1,6,3,3,1,0.89,1
1,7,1,1,1,0.56,-1
1,7,3,2,1,0.73,1
1,7,2,3,1,1.56,1
1,8,2,1,0,0.16,1
1,8,3,2,0,0.52,1
1,8,1,3,0,1.53,-1
1,9,3,1,1,0.5,1
1,9,1,2,1,0.96,1
1,9,2,3,1,1.78,-1
1,10,1,1,0,0.39,-1
1,10,2,2,0,0.63,1
1,10,3,3,0,1.03,1
1,11,2,1,1,0.42,-1
1,11,1,2,1,0.47,1
1,11,3,3,1,0.88,1
1,12,3,1,1,0.37,1
1,12,2,2,1,0.43,-1
1,12,1,3,1,1.42,1
1,13,2,1,1,0.75,1
1,13,3,2,1,0.85,1
1,13,1,3,1,1.04,1
1,14,1,1,0,0.34,-1
1,14,3,2,0,1.39,1
1,14,2,3,0,3.96,1
1,15,2,1,0,0.47,1
1,15,3,2,0,0.48,1
1,15,1,3,0,1.3,-1
1,16,3,1,0,0.35,1
1,16,2,2,0,0.41,1
1,16,1,3,0,1.16,1
1,17,2,1,0,0.61,1
1,17,3,2,0,0.72,1
1,17,1,3,0,0.9,-1
1,18,2,1,1,0.24,-1
1,18,1,2,1,1.82,-1
1,18,3,3,1,2.65,1
1,19,2,1,1,0.56,1
1,19,1,2,1,0.59,1
1,19,3,3,1,0.99,1
1,20,3,1,0,0.18,1
1,20,2,2,0,0.58,1
1,20,1,3,0,0.93,-1
1,21,3,1,1,0.13,1
1,21,2,2,1,0.33,1
1,21,1,3,1,1.19,-1
1,22,3,1,1,0.2,1
1,22,2,2,1,1.06,1
1,22,1,3,1,1.34,1
1,23,3,1,0,0.22,1
1,23,2,2,0,0.48,1
1,23,1,3,0,0.75,-1
1,24,3,1,1,0.21,1
1,24,1,2,1,0.31,1
1,24,2,3,1,0.57,1
1,25,3,1,0,0.59,-1
1,25,2,2,0,0.81,1
1,25,1,3,0,1.06,1
1,26,2,1,0,0.27,1
1,26,3,2,0,0.81,1
1,26,1,3,0,1.21,-1
1,27,3,1,1,0.59,1
1,27,1,2,1,0.73,1
1,27,2,3,1,1.17,-1
1,28,2,1,1,0.21,1
1,28,1,2,1,0.46,1
1,28,3,3,1,1.58,1
1,29,2,1,0,0.16,1
1,29,3,2,0,0.3,1
1,29,1,3,0,0.82,-1
1,30,2,1,1,1.01,1
1,30,3,2,1,1.18,1
1,30,1,3,1,1.84,1
1,31,3,1,1,0.15,1
1,31,2,2,1,0.72,-1
1,31,1,3,1,0.95,1
1,32,3,1,1,0.35,1
1,32,1,2,1,1.13,1
1,32,2,3,1,1.14,1
1,33,2,1,0,0.62,1
1,33,1,2,0,1.21,-1
1,33,3,3,0,1.32,1
1,34,2,1,1,0.23,1
1,34,3,2,1,0.27,1
1,34,1,3,1,1.25,1
1,35,1,1,0,1.02,-1
1,35,3,2,0,1.13,1
1,35,2,3,0,1.7,1
1,36,2,1,1,0.83,1
1,36,1,2,1,1.11,-1
1,36,3,3,1,1.33,1
1,37,2,1,1,0.29,-1
1,37,1,2,1,0.6,1
1,37,3,3,1,0.94,1
1,38,3,1,1,0.24,1
1,38,1,2,1,0.34,1
1,38,2,3,1,0.81,1
1,39,2,1,1,0.12,1
1,39,3,2,1,0.19,1
1,39,1,3,1,0.75,1
1,40,2,1,0,1.26,-1
1,40,3,2,0,1.74,-1
1,40,1,3,0,2.46,1
1,41,3,1,0,0.45,1
1,41,2,2,0,1.91,1
1,41,1,3,0,2.02,1
1,42,3,1,0,0.39,1
1,42,1,2,0,0.43,-1
1,42,2,3,0,1.2,1
1,43,3,1,0,0.55,-1
1,43,2,2,0,1.07,-1
1,43,1,3,0,3.71,1
1,44,2,1,1,0.44,1
1,44,1,2,1,0.46,1
1,44,3,3,1,0.57,-1
1,45,2,1,0,0.42,-1
1,45,3,2,0,1.13,1
1,45,1,3,0,1.22,1
1,46,2,1,0,0.4,-1
1,46,3,2,0,0.88,1
